"row","col","r","lwr","upr"
"Business Model","Business Model",0.00422873037534592,0.00376570220078352,0.00472899046197429
"Business Model","Location",4.22054717768487e-05,-2.72592215465992e-05,0.000113372729255518
"Business Model","Synergy",0,0,0
"Business Model","Budget",5.59791830797485e-05,-2.20806272249703e-05,0.000127396008455683
"Location","Business Model",4.22054717768487e-05,-2.72592215465992e-05,0.000113372729255518
"Location","Location",0.00224843735398705,0.00201554387584904,0.0024807550288071
"Location","Synergy",0,0,0
"Location","Budget",5.0821671339485e-05,2.68321086573731e-05,7.5395682599644e-05
"Synergy","Business Model",0,0,0
"Synergy","Location",0,0,0
"Synergy","Synergy",0,0,0
"Synergy","Budget",0,0,0
"Budget","Business Model",5.59791830797485e-05,-2.20806272249703e-05,0.000127396008455683
"Budget","Location",5.0821671339485e-05,2.68321086573731e-05,7.5395682599644e-05
"Budget","Synergy",0,0,0
"Budget","Budget",0.000720525902881963,0.000594359179613673,0.000890562539972533
