group,label,utility,se,t,lower,upper,sig
Business Model,Certificate Company,-0.55276,0.06144,-8.99609,-0.6731824000000001,-0.43233760000000004,p < .05
Business Model,Certificate NGO,0.23189,0.05579,4.15655,0.12254160000000001,0.3412384,p < .05
Business Model,Direct Investment,0.32086,0.06372,5.03582,0.1959688,0.44575119999999996,p < .05
Location,International,-0.16403,0.05717,-2.86897,-0.2760832,-0.05197680000000002,p < .05
Location,National,0.03098,0.05537,0.55947,-0.07754520000000001,0.1395052,n.s.
Location,Regional,0.13305,0.06454,2.06148,0.006551599999999991,0.2595484,p < .05
Synergy,No,-0.44551,0.03928,-11.34067,-0.5224988,-0.3685212,p < .05
Synergy,Yes,0.44551,0.03928,11.34067,0.3685212,0.5224988,p < .05
Budget,Funding,-0.19833,0.05603,-3.53954,-0.3081488,-0.0885112,p < .05
Budget,Uni,-0.15512,0.05471,-2.83518,-0.2623516,-0.04788840000000001,p < .05
Budget,User,0.35345,0.05311,6.65456,0.24935439999999998,0.4575456,p < .05
